GS,BB,RBI,R,HR,InnOuts,ADJ Salary,ADJ Salary Group
106.0,63,48.0,45,15,2808.0,1357813,1
61.0,14,14.0,17,5,1578.0,1771060,1
61.0,7,16.0,19,6,1578.0,1771060,1
78.0,40,36.0,48,6,2082.0,1062636,1
74.0,25,18.0,33,1,1992.0,283369,0
101.0,45,29.0,42,13,2767.0,1043900,1
15.0,23,31.0,18,8,392.0,944565,0
0.0,1,0.0,0,0,3.0,1062636,1
0.0,1,0.0,0,0,3.0,141684,0
46.0,3,4.0,8,0,1194.0,395536,0
116.0,37,47.0,77,11,3045.0,1712025,1
104.0,53,67.0,67,23,2729.0,2810082,1
119.0,78,84.0,61,17,3157.0,2186230,1
32.0,11,18.0,9,2,969.0,673003,0
63.0,15,19.0,15,8,1686.0,732038,0
162.0,70,81.0,98,25,4310.0,2715626,1
38.0,21,60.0,42,18,900.0,283369,0
90.0,18,49.0,54,11,2584.0,566739,0
39.0,16,13.0,14,2,964.0,165298,0
39.0,16,13.0,14,2,964.0,944565,0
36.0,18,44.0,28,13,923.0,141684,0
62.0,49,42.0,43,9,1668.0,915048,0
116.0,24,58.0,40,11,2777.0,2361414,1
158.0,65,60.0,94,4,4172.0,1027215,1
16.0,62,94.0,93,31,375.0,1560176,1
148.0,105,71.0,107,8,3881.0,3187909,1
138.0,40,102.0,73,18,3575.0,1853710,1
149.0,97,97.0,86,26,3846.0,2403345,1
124.0,37,65.0,49,16,3320.0,1534919,1
3.0,5,4.0,4,0,156.0,141684,0
77.0,37,44.0,51,14,2289.0,972902,0
77.0,2,3.0,8,1,2289.0,972902,0
6.0,2,1.0,1,0,192.0,826494,0
153.0,34,35.0,46,0,3970.0,602160,0
153.0,17,10.0,21,1,3970.0,602160,0
95.0,19,15.0,26,2,2492.0,141684,0
95.0,5,7.0,6,0,2492.0,141684,0
156.0,62,110.0,98,20,4047.0,4686044,1
67.0,18,23.0,41,2,1914.0,885530,0
8.0,2,3.0,4,0,354.0,708424,0
35.0,7,14.0,15,1,924.0,259755,0
137.0,43,49.0,48,7,3559.0,2015417,1
37.0,33,29.0,35,5,982.0,2022945,1
128.0,52,96.0,69,26,3373.0,2833697,1
133.0,90,95.0,90,20,3443.0,1908809,1
81.0,39,30.0,42,9,2281.0,1180707,1
69.0,26,47.0,45,14,1903.0,2218154,1
37.0,19,21.0,26,4,1029.0,194816,0
2.0,92,58.0,65,18,54.0,2604512,1
103.0,64,49.0,73,17,2837.0,1322391,1
148.0,57,100.0,82,22,3914.0,153491,0
22.0,9,8.0,5,1,708.0,335320,0
150.0,69,58.0,93,5,3971.0,708424,0
132.0,48,57.0,67,13,3568.0,495896,0
12.0,6,3.0,8,1,441.0,141684,0
79.0,16,33.0,25,3,2060.0,983923,0
141.0,38,88.0,72,21,3686.0,1830096,1
111.0,33,26.0,27,2,3037.0,271562,0
111.0,29,17.0,28,1,3037.0,271562,0
