playerID,yearID,ADJ Salary,GS,InnOuts,PO,A,E,DP,G,AB,R,H,twoB,threeB,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
thomaan01,1988.0,12.815992582057788,103.2,2757.6,167.2,324.4,21.4,66.2,112.4,417.0,35.2,97.6,15.2,0.8,8.4,45.2,4.4,3.6,11.8,59.8,2.6,0.6,1.2,2.6,13.0
thomach01,2005.0,12.954505515253114,12.0,410.0,38.0,1.0,2.0,0.0,30.0,46.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,8.0,0.0,4.0,0.0,0.0,0.0
thomacl02,2010.6666666666667,13.154922159325075,13.333333333333334,415.0,42.0,2.0,1.3333333333333333,0.3333333333333333,18.333333333333332,48.0,3.3333333333333335,12.333333333333334,3.3333333333333335,0.3333333333333333,0.6666666666666666,4.333333333333333,0.6666666666666666,0.0,4.666666666666667,14.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
thomafr04,1997.5,15.59271602431018,65.57142857142857,1706.357142857143,534.4285714285714,33.642857142857146,5.357142857142857,51.642857142857146,133.21428571428572,475.7142857142857,90.64285714285714,146.42857142857142,30.928571428571427,0.5714285714285714,30.642857142857142,100.57142857142857,2.2857142857142856,1.5714285714285714,100.42857142857143,77.14285714285714,11.571428571428571,4.928571428571429,0.0,7.357142857142857,13.071428571428571
thomago01,1986.0,13.01264987436815,6.0,150.0,47.0,3.0,1.0,3.0,50.5,157.5,22.5,29.5,4.0,0.5,8.0,18.0,1.5,2.0,29.0,52.5,2.0,0.5,1.5,0.0,2.5
thomeji01,2001.3809523809523,15.096091055100137,74.52380952380952,1954.904761904762,451.6666666666667,74.61904761904762,6.571428571428571,47.333333333333336,102.95238095238095,346.7142857142857,66.04761904761905,97.0,18.666666666666668,1.1428571428571428,25.238095238095237,70.14285714285714,0.8571428571428571,0.9523809523809523,72.71428571428571,104.57142857142857,7.476190476190476,3.0,0.047619047619047616,3.0952380952380953,6.285714285714286
thompja01,1985.5,14.716248926658565,64.0,1662.0,558.0,43.0,7.0,38.0,76.5,226.5,24.0,53.5,10.5,0.5,6.0,32.5,0.0,0.5,51.0,35.0,6.0,0.0,0.0,2.0,4.0
thompmi02,1991.7142857142858,13.818573599161125,68.21428571428571,1889.9285714285713,168.28571428571428,3.2857142857142856,2.357142857142857,0.7857142857142857,99.28571428571429,272.85714285714283,35.714285714285715,73.78571428571429,11.571428571428571,2.642857142857143,3.5,27.928571428571427,14.285714285714286,4.571428571428571,25.571428571428573,46.07142857142857,3.857142857142857,1.5,1.5,1.2857142857142858,4.714285714285714
thompri02,2004.0,12.926416617678546,0.0,15.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
thompro01,1991.0,14.35017530675691,112.72727272727273,2923.909090909091,237.36363636363637,336.8181818181818,10.0,79.36363636363636,118.54545454545455,419.27272727272725,61.0,107.9090909090909,21.636363636363637,3.5454545454545454,10.818181818181818,41.63636363636363,9.363636363636363,5.636363636363637,39.90909090909091,89.72727272727273,0.7272727272727273,6.0,9.0,1.7272727272727273,6.545454545454546
thompry01,1995.4,12.726601464363858,50.4,1343.0,140.6,2.8,2.0,1.0,54.6,186.2,23.2,45.0,9.4,0.6,7.6,25.2,1.2,1.8,13.8,53.0,2.4,3.4,1.6,1.8,5.2
thompsc01,1985.0,13.068635542980266,16.0,509.0,180.0,18.0,1.0,14.0,49.0,71.5,5.0,16.0,3.0,0.0,0.0,5.0,0.0,0.0,2.5,8.5,0.0,0.0,0.5,0.5,3.0
thomptr01,2016.0,13.22248559711485,61.0,1668.0,96.0,2.0,2.0,0.0,80.0,236.0,31.0,53.0,11.0,0.0,13.0,32.0,5.0,1.0,26.0,66.0,0.0,0.0,0.0,0.0,3.0
